name	age	seasons	mins	apps	minapp	starts	subs	ga	ga90	sota	win	draw	loss	cs	csperc	saves	rank
"Nick Culkin"	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	50
"Neil Cutler"	1	1	6	1	6	0	1	0	0	0	0	0	0	0	0	0	49
"Gerry Peyton"	1	1	22	1	22	0	1	1	4.0909090909	3	0	0	0	0	0	66.66666667	48
"Martyn Margetson"	1	1	90	1	90	1	0	4	4	6	0	0	1	0	0	33.33333333	47
"Giedrius Arlauskis"	1	1	24	1	24	0	1	1	3.75	2	0	0	0	0	0	50	47
"Lee Harper"	1	1	90	1	90	1	0	0	0	3	1	0	0	1	100	100	47
"Tony Caig"	1	1	45	1	45	0	1	1	2	3	0	0	0	0	0	66.66666667	46
"John Keeley"	1	1	90	1	90	1	0	1	1	4	1	0	0	0	0	75	46
"Scott Howie"	1	1	95	2	47.5	1	1	2	1.8947368421	6	0	2	0	0	0	66.66666667	45
"Péter Kurucz"	1	1	18	1	18	0	1	0	0	0	0	0	0	0	0	0	44
"Nick Colgan"	1	1	90	1	90	1	0	3	3	8	0	0	1	0	0	62.5	44
"Jed Steer"	1	1	90	1	90	1	0	1	1	3	0	0	1	0	0	66.66666667	44
"Jon Sheffield"	1	1	145	2	72.5	1	1	5	3.1034482759	10	0	0	1	0	0	50	43
"Adam Rachel"	1	1	33	1	33	0	1	1	2.7272727273	2	0	0	1	0	0	50	43
"Daniele Padelli"	1	1	90	1	90	1	0	2	2	4	0	1	0	0	0	50	43
Ricardo	1	1	45	1	45	0	1	0	0	1	0	0	0	0		100	43
"Patrice Luzi"	1	1	13	1	13	0	1	0	0	1	0	0	0	0	0	100	43
"Gunnar Nielsen"	1	1	18	1	18	0	1	0	0	1	0	0	0	0	0	100	43
"Steve Mautone"	1	1	90	1	90	1	0	0	0	5	1	0	0	1	100	100	43
"Diego Penny"	1	1	76	1	76	0	1	2	2.3684210526	4	0	0	1	0	0	50	42
"Steve Banks"	1	1	90	1	90	1	0	3	3	7	0	0	1	0	0	57.14285714	42
"Andy Oakes"	1	1	90	1	90	1	0	2	2	5	0	0	1	0	0	60	42
"Lance Key"	1	1	180	2	90	2	0	3	1.5	8	1	0	1	1	50	62.5	42
"Danny Ward"	1	1	180	2	90	2	0	4	2	13	1	0	1	0	0	69.23076923	42
"Mervyn Day"	1	1	180	2	90	2	0	6	3	12	0	0	2	0	0	50	41
"Ryan Allsop"	2	2	135	2	67.5	1	1	2	1.5	7	0	1	0	0	0	65	41
"Andy Goram"	1	1	124	2	62	2	0	2	1.4516129032	7	1	0	1	0	0	71.42857143	41
"Stefan Wessels"	1	1	180	2	90	2	0	3	1.5	7	0	0	2	0	0	57.14285714	40
"Matt Murray"	1	1	90	1	90	1	0	5	5	12	0	0	1	0	0	58.33333333	40
"Andy Collett"	1	1	180	2	90	2	0	5	2.5	12	0	1	1	0	0	58.33333333	40
"Neil Finn"	1	1	90	1	90	1	0	2	2	6	0	0	1	0	0	66.66666667	40
"Carl Ikeme"	1	1	40	1	40	0	1	1	2.25	5	0	0	0	0	0	80	40
"Ján Mucha"	1	1	180	2	90	2	0	1	0.5	13	1	1	0	1	50	92.30769231	40
"Joel Castro Pereira"	1	1	90	1	90	1	0	0	0	3	1	0	0	1	100	100	40
"Luke Daniels"	1	1	13	1	13	0	1	0	0	1	0	0	0	0	0	100	40
"Mark Halstead"	1	1	25	1	25	0	1	0	0	4	0	0	0	0	0	100	40
"John Karelse"	1	1	270	3	90	3	0	7	2.3333333333	15	0	2	1	1	33.3	53.33333333	39
"Les Sealey"	2	2	225	3	78.75	2	1	5	2.16666666665	14	0	0	2	0	0	64.583333335	39
"Joe Lewis"	1	1	90	1	90	1	0	1	1	4	0	1	0	0	0	75	39
"Lenny Pidgeley"	1	1	90	1	90	1	0	1	1	4	0	0	1	0	0	75	39
"Kristoffer Nordfeldt"	2	2	180	2	90	2	0	2	1	10	1	1	0	0	0	80	39
"Iain Turner"	2	2	225	4	67.5	3	1	6	2.66666666665	15	1	0	2	1	25	61.111111115	38
"Ian Andrews"	1	1	450	5	90	5	0	6	1.2	22	2	0	3	2	40	72.72727273	38
"Ian Feuer"	3	2	450	5	90	5	0	6	1.33333333335	24	2	1	2	1	16.65	75	38
"Brian Horne"	1	1	294	4	73.5	3	1	3	0.9183673469	14	2	1	0	2	66.7	78.57142857	38
"Ben Amos"	1	1	90	1	90	1	0	0	0	2	1	0	0	1	100	100	38
